,NAME,上開,不,之,也,了,云云,以,伊,似,但,係指,全,其,即,卻,又,只,可,在,地,如,就,得,惟查,把,按,於,旋,是,有,此,殆,為,無,然,爰,的,等語,系爭,縱,而,致,與,茲,著,被,足資,這,還,那
10077,蘇永欽,,29.0,54,18.0,4.0,,1.0,,2.0,4.0,,7.0,27,18.0,1.0,4.0,,5.0,43.0,16.0,11.0,15.0,9.0,,1.0,,49,,72.0,40,20,,54,12.0,2.0,,226.0,,2.0,1.0,24,5.0,10.0,,1.0,3.0,,16.0,3.0,
10078,蘇永欽,,38.0,78,25.0,3.0,,1.0,,4.0,9.0,,6.0,33,19.0,3.0,2.0,,4.0,45.0,18.0,21.0,10.0,11.0,,3.0,,46,,58.0,41,22,,67,9.0,8.0,,218.0,,3.0,2.0,27,4.0,15.0,,1.0,3.0,,19.0,2.0,
10079,蘇永欽,,32.0,38,22.0,8.0,,1.0,,1.0,12.0,,7.0,37,19.0,2.0,2.0,,1.0,36.0,22.0,13.0,7.0,6.0,,1.0,,37,,60.0,48,11,,54,4.0,6.0,,209.0,,4.0,,22,2.0,13.0,,2.0,2.0,,20.0,1.0,
10080,蘇永欽,,38.0,44,18.0,8.0,,,,4.0,7.0,,2.0,22,10.0,3.0,2.0,,2.0,40.0,20.0,13.0,12.0,15.0,,1.0,,39,,58.0,35,21,,64,15.0,10.0,,220.0,,1.0,1.0,23,5.0,12.0,,1.0,4.0,,19.0,2.0,1.0
10081,蘇永欽,,46.0,56,22.0,2.0,,,,2.0,6.0,,5.0,38,17.0,1.0,3.0,,3.0,40.0,13.0,10.0,9.0,19.0,,2.0,,50,,66.0,28,22,,57,16.0,7.0,,174.0,,4.0,,18,4.0,16.0,,3.0,2.0,,21.0,3.0,1.0
10082,蘇永欽,,48.0,62,19.0,5.0,,,,1.0,8.0,,4.0,31,13.0,3.0,2.0,,5.0,35.0,27.0,13.0,10.0,17.0,,1.0,,43,,44.0,52,21,,65,10.0,11.0,,169.0,,2.0,,25,4.0,9.0,,2.0,5.0,,14.0,4.0,
10083,蘇永欽,,38.0,78,21.0,7.0,,,,1.0,8.0,,6.0,35,18.0,2.0,,,3.0,35.0,6.0,16.0,12.0,13.0,,4.0,,33,,66.0,46,11,,56,12.0,9.0,,159.0,,6.0,4.0,35,2.0,18.0,,2.0,7.0,,24.0,6.0,1.0
10084,蘇永欽,,44.0,74,12.0,10.0,,1.0,,8.0,8.0,,6.0,28,16.0,5.0,1.0,,1.0,33.0,14.0,17.0,9.0,10.0,,3.0,,32,,54.0,48,21,,57,15.0,11.0,,210.0,,2.0,1.0,24,4.0,5.0,,1.0,5.0,,16.0,2.0,
10085,蘇永欽,,45.0,42,19.0,10.0,,4.0,,3.0,9.0,,3.0,37,13.0,2.0,4.0,,2.0,30.0,18.0,13.0,16.0,14.0,,3.0,,44,,42.0,56,15,,71,9.0,11.0,,221.0,,3.0,3.0,32,5.0,10.0,,2.0,3.0,,23.0,5.0,1.0
10086,蘇永欽,,38.0,62,18.0,2.0,,,,3.0,7.0,,9.0,34,16.0,5.0,7.0,,2.0,46.0,16.0,14.0,11.0,10.0,,2.0,,43,,46.0,43,17,,45,13.0,8.0,,218.0,,2.0,2.0,26,2.0,9.0,,1.0,5.0,,10.0,3.0,
10087,蘇永欽,,29.0,54,12.0,8.0,,,,1.0,11.0,,4.0,26,16.0,2.0,3.0,,3.0,34.0,11.0,17.0,14.0,8.0,,2.0,,44,,40.0,50,19,,53,6.0,14.0,,235.0,,5.0,1.0,23,4.0,18.0,,2.0,1.0,,10.0,2.0,
10088,蘇永欽,,35.0,44,14.0,12.0,,3.0,,3.0,6.0,,2.0,35,17.0,2.0,3.0,,2.0,45.0,25.0,13.0,11.0,15.0,,1.0,,36,,50.0,50,26,,74,9.0,9.0,,187.0,,1.0,1.0,20,1.0,12.0,,2.0,4.0,,12.0,2.0,1.0
10089,蘇永欽,,51.0,40,29.0,10.0,,,,6.0,8.0,,5.0,33,12.0,,2.0,,4.0,34.0,21.0,12.0,10.0,12.0,,1.0,,51,,54.0,58,24,,58,9.0,9.0,,214.0,,3.0,1.0,22,3.0,11.0,,1.0,6.0,,16.0,5.0,1.0
10090,蘇永欽,,25.0,68,24.0,7.0,,1.0,,5.0,9.0,,8.0,22,15.0,3.0,6.0,,1.0,29.0,13.0,10.0,11.0,11.0,,1.0,,53,,46.0,51,17,,57,10.0,15.0,,222.0,,,2.0,20,2.0,12.0,,,3.0,,19.0,4.0,
10091,蘇永欽,,34.0,54,14.0,5.0,,,,4.0,9.0,,8.0,27,18.0,,4.0,,2.0,42.0,19.0,15.0,20.0,12.0,,1.0,,55,,64.0,42,23,,64,10.0,17.0,,211.0,,5.0,,34,5.0,18.0,,1.0,4.0,,19.0,2.0,2.0
