,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
511.0,0.0,0.0,0.03,0.02,0.0,0.01,0.08,0.01,0.04,0.08,0.06,0.03,0.01,0.03,0.1,0.3,0.0,0.03,0.02,0.03,0.01,0.01,0.01,0.01,0.08
512.0,0.02,0.0,0.02,0.02,0.0,0.0,0.17,0.01,0.04,0.04,0.07,0.0,0.01,0.0,0.14,0.23,0.0,0.0,0.07,0.01,0.0,0.01,0.02,0.02,0.1
513.0,0.0,0.0,0.0,0.01,0.0,0.0,0.22,0.03,0.0,0.09,0.03,0.04,0.0,0.0,0.1,0.17,0.0,0.0,0.04,0.0,0.03,0.0,0.02,0.04,0.18
514.0,0.0,0.0,0.04,0.04,0.01,0.01,0.11,0.03,0.02,0.09,0.03,0.03,0.0,0.0,0.12,0.14,0.01,0.02,0.02,0.02,0.0,0.06,0.0,0.01,0.19
515.0,0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.01,0.07,0.0,0.03,0.01,0.0,0.15,0.34,0.0,0.0,0.03,0.02,0.01,0.11,0.0,0.01,0.1
516.0,0.02,0.0,0.04,0.0,0.0,0.0,0.06,0.0,0.02,0.08,0.05,0.05,0.01,0.0,0.06,0.13,0.0,0.0,0.03,0.0,0.01,0.05,0.01,0.02,0.36
517.0,0.02,0.0,0.01,0.0,0.0,0.0,0.09,0.03,0.01,0.05,0.07,0.04,0.0,0.01,0.07,0.22,0.01,0.01,0.04,0.01,0.03,0.02,0.0,0.02,0.24
518.0,0.0,0.01,0.02,0.01,0.0,0.0,0.1,0.02,0.01,0.19,0.02,0.0,0.01,0.02,0.13,0.21,0.01,0.0,0.0,0.01,0.0,0.04,0.02,0.04,0.13
519.0,0.0,0.01,0.01,0.01,0.0,0.01,0.14,0.02,0.01,0.09,0.0,0.03,0.01,0.0,0.09,0.11,0.0,0.01,0.07,0.01,0.04,0.15,0.04,0.0,0.14
520.0,0.05,0.0,0.08,0.0,0.0,0.0,0.09,0.01,0.03,0.06,0.05,0.04,0.0,0.0,0.11,0.1,0.0,0.0,0.02,0.03,0.02,0.03,0.0,0.01,0.27
521.0,0.01,0.0,0.04,0.01,0.0,0.0,0.11,0.02,0.0,0.13,0.05,0.01,0.0,0.0,0.15,0.2,0.0,0.01,0.01,0.02,0.0,0.03,0.03,0.04,0.13
522.0,0.02,0.0,0.02,0.02,0.01,0.0,0.08,0.02,0.0,0.13,0.02,0.05,0.0,0.02,0.09,0.18,0.0,0.01,0.03,0.02,0.02,0.03,0.01,0.0,0.22
