,余雪明,城仲模,廖義男,彭鳳至,徐璧湖,曾有田,李震山,林子儀,林永謀,林錫堯,楊仁壽,池啟明,王和雄,翁岳生,葉百修,蔡清遊,蘇永欽,許宗力,許玉秀,謝在全,賴英照,陳敏,陳新民,陳春生,黃茂榮
671.0,0.02,0.02,0.07,0.01,0.0,0.0,0.09,0.06,0.03,0.21,0.0,0.04,0.0,0.02,0.16,0.14,0.0,0.0,0.01,0.01,0.0,0.07,0.0,0.0,0.04
672.0,0.01,0.0,0.06,0.02,0.0,0.01,0.01,0.02,0.02,0.12,0.02,0.01,0.0,0.0,0.15,0.16,0.01,0.0,0.04,0.0,0.06,0.07,0.0,0.01,0.2
673.0,0.02,0.0,0.02,0.02,0.0,0.0,0.09,0.02,0.01,0.27,0.0,0.07,0.0,0.0,0.15,0.11,0.0,0.0,0.0,0.03,0.0,0.08,0.0,0.02,0.09
674.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.0,0.01,0.09,0.02,0.02,0.0,0.0,0.15,0.26,0.0,0.0,0.09,0.05,0.08,0.08,0.0,0.01,0.07
675.0,0.0,0.01,0.05,0.0,0.0,0.01,0.1,0.02,0.02,0.11,0.01,0.0,0.0,0.0,0.21,0.12,0.01,0.03,0.05,0.01,0.03,0.02,0.01,0.11,0.07
676.0,0.0,0.0,0.0,0.01,0.0,0.04,0.09,0.03,0.0,0.08,0.0,0.15,0.02,0.0,0.19,0.15,0.01,0.0,0.04,0.01,0.02,0.01,0.0,0.07,0.08
677.0,0.01,0.0,0.01,0.02,0.01,0.02,0.1,0.07,0.01,0.04,0.0,0.0,0.0,0.0,0.36,0.1,0.0,0.01,0.04,0.0,0.02,0.0,0.03,0.1,0.05
678.0,0.01,0.0,0.01,0.01,0.01,0.0,0.09,0.0,0.04,0.09,0.0,0.02,0.01,0.02,0.11,0.22,0.02,0.04,0.06,0.06,0.02,0.02,0.0,0.08,0.06
679.0,0.01,0.0,0.15,0.02,0.0,0.0,0.06,0.03,0.06,0.02,0.06,0.06,0.02,0.0,0.08,0.14,0.0,0.01,0.08,0.0,0.03,0.03,0.02,0.01,0.11
680.0,0.01,0.0,0.04,0.0,0.0,0.01,0.09,0.0,0.1,0.05,0.01,0.04,0.0,0.0,0.13,0.28,0.0,0.0,0.03,0.05,0.02,0.04,0.0,0.01,0.09
681.0,0.03,0.0,0.03,0.02,0.0,0.0,0.03,0.0,0.05,0.04,0.01,0.02,0.01,0.0,0.1,0.25,0.01,0.0,0.07,0.02,0.15,0.09,0.0,0.01,0.06
682.0,0.0,0.0,0.01,0.02,0.0,0.0,0.06,0.07,0.01,0.21,0.02,0.06,0.0,0.01,0.14,0.14,0.0,0.0,0.01,0.02,0.02,0.05,0.01,0.08,0.06
683.0,0.09,0.0,0.11,0.02,0.01,0.01,0.09,0.01,0.03,0.03,0.09,0.0,0.02,0.0,0.06,0.04,0.02,0.01,0.08,0.07,0.05,0.02,0.0,0.02,0.12
684.0,0.0,0.0,0.05,0.0,0.0,0.0,0.07,0.0,0.09,0.1,0.03,0.0,0.0,0.0,0.04,0.38,0.02,0.0,0.04,0.01,0.02,0.08,0.0,0.03,0.04
685.0,0.0,0.0,0.01,0.0,0.0,0.01,0.03,0.02,0.0,0.14,0.0,0.04,0.02,0.05,0.22,0.15,0.0,0.01,0.0,0.03,0.05,0.07,0.0,0.07,0.08
686.0,0.0,0.0,0.09,0.01,0.0,0.0,0.1,0.0,0.1,0.14,0.01,0.09,0.0,0.0,0.06,0.13,0.01,0.01,0.04,0.02,0.0,0.06,0.0,0.02,0.11
687.0,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.08,0.0,0.18,0.02,0.09,0.0,0.0,0.08,0.26,0.0,0.0,0.01,0.03,0.01,0.07,0.0,0.02,0.08
688.0,0.0,0.0,0.0,0.02,0.0,0.01,0.08,0.02,0.01,0.34,0.0,0.06,0.0,0.0,0.13,0.07,0.01,0.0,0.02,0.02,0.02,0.01,0.03,0.07,0.08
689.0,0.0,0.0,0.01,0.01,0.0,0.0,0.11,0.01,0.02,0.21,0.02,0.2,0.01,0.0,0.22,0.05,0.0,0.01,0.02,0.01,0.02,0.01,0.02,0.03,0.01
690.0,0.0,0.0,0.01,0.01,0.0,0.0,0.13,0.03,0.0,0.3,0.0,0.04,0.0,0.0,0.18,0.07,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.16,0.05
